127.0.0.1 - - [25/Jun/2019:10:26:41 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:26:47 +0900] "GET /BasicJSP/jdbc07/login_2312.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:26:53 +0900] "GET /BasicJSP/jdbc07/member_2312.jsp HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:27:06 +0900] "POST /BasicJSP/jdbc07/memberPro_2312.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:27:09 +0900] "GET /BasicJSP/jdbc07/login_2312.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:27:13 +0900] "GET /BasicJSP/jdbc07/loginPro_2312.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:35:01 +0900] "GET /BasicJSP/jdbc07/loginPro_2312.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:39:41 +0900] "GET /BasicJSP/jdbc07/loginPro_2312.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:50:45 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:51:50 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:52:14 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:52:50 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:55:26 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:56:20 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:56:35 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:59:11 +0900] "GET /BasicJSP/jdbc07/update_2312.jsp HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:59:29 +0900] "POST /BasicJSP/jdbc07/updatePro_2312.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [25/Jun/2019:10:59:29 +0900] "GET /BasicJSP/jdbc07/updatePro_2312.jsp HTTP/1.1" 200 168
